dataset	cell	class	ngenes	reads
VASA own, 75 nt	015	multi	14	71
VASA own, 75 nt	015	multi	15	201
VASA own, 75 nt	015	multi	16	26
VASA own, 75 nt	015	multi	17	9
VASA own, 75 nt	015	multi	18	19
VASA own, 75 nt	015	multi	19	14
VASA own, 75 nt	015	multi	20	56
VASA own, 75 nt	015	single	1	50535
VASA own, 75 nt	015	single	2	2898
VASA own, 75 nt	015	single	3	209
VASA own, 75 nt	015	single	4	16
VASA own, 75 nt	015	single	15	1
VASA own, 75 nt	015	single	19	1
VASA own, 75 nt	015	single	20	5
VASA own, 75 nt	016	multi	1	15623
VASA own, 75 nt	016	multi	2	9373
VASA own, 75 nt	016	multi	3	3903
VASA own, 75 nt	016	multi	4	1938
VASA own, 75 nt	016	multi	5	1848
VASA own, 75 nt	016	multi	6	1041
VASA own, 75 nt	016	multi	7	733
VASA own, 75 nt	016	multi	8	280
VASA own, 75 nt	016	multi	9	312
VASA own, 75 nt	016	multi	10	128
VASA own, 75 nt	016	multi	11	65
VASA own, 75 nt	016	multi	12	115
VASA own, 75 nt	016	multi	13	92
VASA own, 75 nt	016	multi	14	14
VASA own, 75 nt	016	multi	15	59
VASA own, 75 nt	016	multi	16	9
VASA own, 75 nt	016	multi	17	8
VASA own, 75 nt	016	multi	18	2
VASA own, 75 nt	016	multi	19	2
VASA own, 75 nt	016	multi	20	25
VASA own, 75 nt	016	single	1	17798
VASA own, 75 nt	016	single	2	981
VASA own, 75 nt	016	single	3	76
VASA own, 75 nt	016	single	4	3
VASA own, 75 nt	016	single	5	1
VASA own, 75 nt	016	single	20	1
VASA published, mouse	002	multi	1	1017
VASA published, mouse	002	multi	2	1299
VASA published, mouse	002	multi	3	679
VASA published, mouse	002	multi	4	789
VASA published, mouse	002	multi	5	327
VASA published, mouse	002	multi	6	471
VASA published, mouse	002	multi	7	53
VASA published, mouse	002	multi	8	31
VASA published, mouse	002	multi	9	321
VASA published, mouse	002	multi	10	5
VASA published, mouse	002	multi	11	11
VASA published, mouse	002	multi	12	11
VASA published, mouse	002	multi	13	1
VASA published, mouse	002	multi	20	3
VASA published, mouse	002	single	1	31324
VASA published, mouse	002	single	2	1263
VASA published, mouse	002	single	3	62
VASA published, mouse	002	single	14	3
VASA published, mouse	002	single	16	6
VASA published, mouse	002	single	20	1
VASA published, mouse	004	multi	1	10076
VASA published, mouse	004	multi	2	13671
VASA published, mouse	004	multi	3	7186
VASA published, mouse	004	multi	4	7529
VASA published, mouse	004	multi	5	2647
VASA published, mouse	004	multi	6	3232
VASA published, mouse	004	multi	7	545
VASA published, mouse	004	multi	8	421
VASA published, mouse	004	multi	9	2203
VASA published, mouse	004	multi	10	131
VASA published, mouse	004	multi	11	79
VASA published, mouse	004	multi	12	19
VASA published, mouse	004	multi	13	11
VASA published, mouse	004	multi	15	2
VASA published, mouse	004	multi	16	1
VASA published, mouse	004	multi	17	1
VASA published, mouse	004	multi	18	7
VASA published, mouse	004	multi	20	43
VASA published, mouse	004	single	1	361976
VASA published, mouse	004	single	2	13145
VASA published, mouse	004	single	3	566
VASA published, mouse	004	single	4	4
VASA published, mouse	004	single	5	2
VASA published, mouse	004	single	6	3
VASA published, mouse	004	single	20	49
VASA published, mouse	006	multi	1	9211
VASA published, mouse	006	multi	2	12134
VASA published, mouse	006	multi	3	5954
VASA published, mouse	006	multi	4	8665
VASA published, mouse	006	multi	5	2851
VASA published, mouse	006	multi	6	3209
VASA published, mouse	006	multi	7	535
VASA published, mouse	006	multi	8	473
VASA published, mouse	006	multi	9	1704
VASA published, mouse	006	multi	10	119
VASA published, mouse	006	multi	11	84
VASA published, mouse	006	multi	12	16
VASA published, mouse	006	multi	13	16
VASA published, mouse	006	multi	14	1
VASA published, mouse	006	multi	15	1
VASA published, mouse	006	multi	17	1
VASA published, mouse	006	multi	18	8
VASA published, mouse	006	multi	19	1
VASA published, mouse	006	multi	20	43
VASA published, mouse	006	single	1	334367
VASA published, mouse	006	single	2	12875
VASA published, mouse	006	single	3	712
VASA published, mouse	006	single	4	14
VASA published, mouse	006	single	5	5
VASA published, mouse	006	single	7	1
VASA published, mouse	006	single	8	2
VASA published, mouse	006	single	9	3
VASA published, mouse	006	single	11	10
VASA published, mouse	006	single	15	10
VASA published, mouse	006	single	19	9
VASA published, mouse	006	single	20	35
VASA published, mouse	008	multi	1	4167
VASA published, mouse	008	multi	2	6503
VASA published, mouse	008	multi	3	3169
VASA published, mouse	008	multi	4	12401
VASA published, mouse	008	multi	5	1525
VASA published, mouse	008	multi	6	2978
VASA published, mouse	008	multi	7	354
VASA published, mouse	008	multi	8	215
VASA published, mouse	008	multi	9	1614
VASA published, mouse	008	multi	10	79
VASA published, mouse	008	multi	11	38
VASA published, mouse	008	multi	12	20
VASA published, mouse	008	multi	13	149
VASA published, mouse	008	multi	14	8
VASA published, mouse	008	multi	17	7
VASA published, mouse	008	multi	18	5
VASA published, mouse	008	multi	19	2
VASA published, mouse	008	multi	20	27
VASA published, mouse	008	single	1	141278
VASA published, mouse	008	single	2	7045
VASA published, mouse	008	single	3	458
VASA published, mouse	008	single	4	31
VASA published, mouse	008	single	5	2
VASA published, mouse	008	single	6	2
VASA published, mouse	008	single	7	3
VASA published, mouse	008	single	10	1
VASA published, mouse	008	single	11	11
VASA published, mouse	008	single	12	2
VASA published, mouse	008	single	14	9
VASA published, mouse	008	single	15	1
VASA published, mouse	008	single	16	2
VASA published, mouse	008	single	17	4
VASA published, mouse	008	single	18	1
VASA published, mouse	008	single	20	38
VASA published, mouse	010	multi	1	6640
VASA published, mouse	010	multi	2	11190
VASA published, mouse	010	multi	3	5489
VASA published, mouse	010	multi	4	17349
VASA published, mouse	010	multi	5	2798
VASA published, mouse	010	multi	6	3252
VASA published, mouse	010	multi	7	723
VASA published, mouse	010	multi	8	416
VASA published, mouse	010	multi	9	1599
VASA published, mouse	010	multi	10	152
VASA published, mouse	010	multi	11	78
VASA published, mouse	010	multi	12	22
VASA published, mouse	010	multi	13	98
VASA published, mouse	010	multi	14	7
VASA published, mouse	010	multi	18	18
VASA published, mouse	010	multi	19	1
VASA published, mouse	010	multi	20	40
VASA published, mouse	010	single	1	220207
VASA published, mouse	010	single	2	11342
VASA published, mouse	010	single	3	533
VASA published, mouse	010	single	4	15
VASA published, mouse	010	single	14	3
VASA published, mouse	010	single	20	12
VASA published, mouse	012	multi	1	18112
VASA published, mouse	012	multi	2	26539
VASA published, mouse	012	multi	3	12706
VASA published, mouse	012	multi	4	38506
VASA published, mouse	012	multi	5	7724
VASA published, mouse	012	multi	6	9432
VASA published, mouse	012	multi	7	1075
VASA published, mouse	012	multi	8	744
VASA published, mouse	012	multi	9	3111
VASA published, mouse	012	multi	10	316
VASA published, mouse	012	multi	11	103
VASA published, mouse	012	multi	12	53
VASA published, mouse	012	multi	13	153
VASA published, mouse	012	multi	14	9
VASA published, mouse	012	multi	15	2
VASA published, mouse	012	multi	16	1
VASA published, mouse	012	multi	17	4
VASA published, mouse	012	multi	18	1
VASA published, mouse	012	multi	19	11
VASA published, mouse	012	multi	20	106
VASA published, mouse	012	single	1	609693
VASA published, mouse	012	single	2	27137
VASA published, mouse	012	single	3	1668
VASA published, mouse	012	single	4	80
VASA published, mouse	012	single	5	10
VASA published, mouse	012	single	6	21
VASA published, mouse	012	single	7	4
VASA published, mouse	012	single	9	6
VASA published, mouse	012	single	10	1
VASA published, mouse	012	single	12	19
VASA published, mouse	012	single	19	2
VASA published, mouse	012	single	20	110
VASA published, mouse	014	multi	1	1366
VASA published, mouse	014	multi	2	2188
VASA published, mouse	014	multi	3	1024
VASA published, mouse	014	multi	4	2846
VASA published, mouse	014	multi	5	561
VASA published, mouse	014	multi	6	706
VASA published, mouse	014	multi	7	181
VASA published, mouse	014	multi	8	88
VASA published, mouse	014	multi	9	293
VASA published, mouse	014	multi	10	60
VASA published, mouse	014	multi	11	19
VASA published, mouse	014	multi	12	3
VASA published, mouse	014	multi	13	81
VASA published, mouse	014	multi	14	3
VASA published, mouse	014	multi	20	8
VASA published, mouse	014	single	1	30408
VASA published, mouse	014	single	2	1583
VASA published, mouse	014	single	3	85
VASA published, mouse	014	single	15	1
VASA published, mouse	014	single	20	16
VASA published, mouse	016	multi	1	6256
VASA published, mouse	016	multi	2	7544
VASA published, mouse	016	multi	3	3520
VASA published, mouse	016	multi	4	4580
VASA published, mouse	016	multi	5	1724
VASA published, mouse	016	multi	6	1805
VASA published, mouse	016	multi	7	337
VASA published, mouse	016	multi	8	255
VASA published, mouse	016	multi	9	1082
VASA published, mouse	016	multi	10	93
VASA published, mouse	016	multi	11	26
VASA published, mouse	016	multi	12	9
VASA published, mouse	016	multi	13	2
VASA published, mouse	016	multi	15	2
VASA published, mouse	016	multi	17	8
VASA published, mouse	016	multi	18	1
VASA published, mouse	016	multi	19	1
VASA published, mouse	016	multi	20	58
VASA published, mouse	016	single	1	213587
VASA published, mouse	016	single	2	8824
VASA published, mouse	016	single	3	317
VASA published, mouse	016	single	4	5
VASA published, mouse	016	single	6	8
VASA published, mouse	016	single	9	2
VASA published, mouse	016	single	11	5
VASA published, mouse	016	single	12	3
VASA published, mouse	016	single	15	2
VASA published, mouse	016	single	17	3
VASA published, mouse	016	single	18	4
VASA published, mouse	016	single	19	4
VASA published, mouse	016	single	20	6
VASA published, mouse	018	multi	1	5079
VASA published, mouse	018	multi	2	7984
VASA published, mouse	018	multi	3	4134
VASA published, mouse	018	multi	4	16823
VASA published, mouse	018	multi	5	2836
VASA published, mouse	018	multi	6	5783
VASA published, mouse	018	multi	7	1095
VASA published, mouse	018	multi	8	317
VASA published, mouse	018	multi	9	2970
VASA published, mouse	018	multi	10	132
VASA published, mouse	018	multi	11	45
VASA published, mouse	018	multi	12	14
VASA published, mouse	018	multi	13	672
VASA published, mouse	018	multi	14	34
VASA published, mouse	018	multi	15	1
VASA published, mouse	018	multi	16	4
VASA published, mouse	018	multi	19	2
VASA published, mouse	018	multi	20	50
VASA published, mouse	018	single	1	180363
VASA published, mouse	018	single	2	9463
VASA published, mouse	018	single	3	723
VASA published, mouse	018	single	4	44
VASA published, mouse	018	single	7	5
VASA published, mouse	018	single	8	1
VASA published, mouse	018	single	13	1
VASA published, mouse	018	single	15	7
VASA published, mouse	018	single	19	6
VASA published, mouse	018	single	20	15
VASA published, mouse	020	multi	1	13890
VASA published, mouse	020	multi	2	22044
VASA published, mouse	020	multi	3	9676
VASA published, mouse	020	multi	4	38553
VASA published, mouse	020	multi	5	5508
VASA published, mouse	020	multi	6	9952
VASA published, mouse	020	multi	7	1885
VASA published, mouse	020	multi	8	574
VASA published, mouse	020	multi	9	5990
VASA published, mouse	020	multi	10	483
VASA published, mouse	020	multi	11	104
VASA published, mouse	020	multi	12	45
VASA published, mouse	020	multi	13	924
VASA published, mouse	020	multi	14	68
VASA published, mouse	020	multi	15	1
VASA published, mouse	020	multi	16	2
VASA published, mouse	020	multi	17	1
VASA published, mouse	020	multi	18	5
VASA published, mouse	020	multi	19	9
VASA published, mouse	020	multi	20	63
VASA published, mouse	020	single	1	479286
VASA published, mouse	020	single	2	25588
VASA published, mouse	020	single	3	1805
VASA published, mouse	020	single	4	61
VASA published, mouse	020	single	6	9
VASA published, mouse	020	single	7	8
VASA published, mouse	020	single	8	5
VASA published, mouse	020	single	9	2
VASA published, mouse	020	single	14	8
VASA published, mouse	020	single	18	2
VASA published, mouse	020	single	19	10
VASA published, mouse	020	single	20	21
VASA published, mouse	022	multi	1	8835
VASA published, mouse	022	multi	2	10218
VASA published, mouse	022	multi	3	4838
VASA published, mouse	022	multi	4	6251
VASA published, mouse	022	multi	5	1678
VASA published, mouse	022	multi	6	2560
VASA published, mouse	022	multi	7	410
VASA published, mouse	022	multi	8	273
VASA published, mouse	022	multi	9	832
VASA published, mouse	022	multi	10	75
VASA published, mouse	022	multi	11	61
VASA published, mouse	022	multi	12	9
VASA published, mouse	022	multi	13	18
VASA published, mouse	022	multi	15	1
VASA published, mouse	022	multi	16	5
VASA published, mouse	022	multi	18	1
VASA published, mouse	022	multi	19	1
VASA published, mouse	022	multi	20	51
VASA published, mouse	022	single	1	321134
VASA published, mouse	022	single	2	12091
VASA published, mouse	022	single	3	595
VASA published, mouse	022	single	4	25
VASA published, mouse	022	single	7	2
VASA published, mouse	022	single	9	2
VASA published, mouse	022	single	10	2
VASA published, mouse	022	single	11	3
VASA published, mouse	022	single	12	4
VASA published, mouse	022	single	13	9
VASA published, mouse	022	single	14	4
VASA published, mouse	022	single	15	26
VASA published, mouse	022	single	16	11
VASA published, mouse	022	single	17	4
VASA published, mouse	022	single	18	4
VASA published, mouse	022	single	19	6
VASA published, mouse	022	single	20	40
VASA published, mouse	026	multi	1	4056
VASA published, mouse	026	multi	2	5319
VASA published, mouse	026	multi	3	2334
VASA published, mouse	026	multi	4	2050
VASA published, mouse	026	multi	5	811
VASA published, mouse	026	multi	6	878
VASA published, mouse	026	multi	7	179
VASA published, mouse	026	multi	8	128
VASA published, mouse	026	multi	9	465
VASA published, mouse	026	multi	10	46
VASA published, mouse	026	multi	11	39
VASA published, mouse	026	multi	12	6
VASA published, mouse	026	multi	13	9
VASA published, mouse	026	multi	18	1
VASA published, mouse	026	multi	20	8
VASA published, mouse	026	single	1	119520
VASA published, mouse	026	single	2	4367
VASA published, mouse	026	single	3	237
VASA published, mouse	026	single	4	16
VASA published, mouse	026	single	14	15
VASA published, mouse	026	single	20	9
VASA published, mouse	032	multi	1	3435
VASA published, mouse	032	multi	2	4515
VASA published, mouse	032	multi	3	2090
VASA published, mouse	032	multi	4	1592
VASA published, mouse	032	multi	5	720
VASA published, mouse	032	multi	6	696
VASA published, mouse	032	multi	7	166
VASA published, mouse	032	multi	8	126
VASA published, mouse	032	multi	9	296
VASA published, mouse	032	multi	10	22
VASA published, mouse	032	multi	11	32
VASA published, mouse	032	multi	12	1
VASA published, mouse	032	multi	13	3
VASA published, mouse	032	multi	18	1
VASA published, mouse	032	multi	19	2
VASA published, mouse	032	multi	20	3
VASA published, mouse	032	single	1	109486
VASA published, mouse	032	single	2	3915
VASA published, mouse	032	single	3	239
VASA published, mouse	032	single	6	2
VASA published, mouse	032	single	8	9
VASA published, mouse	032	single	11	4
VASA published, mouse	032	single	20	1
VASA published, mouse	034	multi	1	3948
VASA published, mouse	034	multi	2	5239
VASA published, mouse	034	multi	3	2436
VASA published, mouse	034	multi	4	1759
VASA published, mouse	034	multi	5	1029
VASA published, mouse	034	multi	6	704
VASA published, mouse	034	multi	7	262
VASA published, mouse	034	multi	8	212
VASA published, mouse	034	multi	9	230
VASA published, mouse	034	multi	10	52
VASA published, mouse	034	multi	11	47
VASA published, mouse	034	multi	12	21
VASA published, mouse	034	multi	18	6
VASA published, mouse	034	multi	19	8
VASA published, mouse	034	multi	20	44
VASA published, mouse	034	single	1	118782
VASA published, mouse	034	single	2	4217
VASA published, mouse	034	single	3	205
VASA published, mouse	034	single	4	12
VASA published, mouse	034	single	7	2
VASA published, mouse	034	single	9	2
VASA published, mouse	034	single	12	1
VASA published, mouse	034	single	14	1
VASA published, mouse	034	single	15	1
VASA published, mouse	034	single	16	3
VASA published, mouse	034	single	20	27
VASA published, mouse	036	multi	1	6880
VASA published, mouse	036	multi	2	9146
VASA published, mouse	036	multi	3	4401
VASA published, mouse	036	multi	4	3230
VASA published, mouse	036	multi	5	1392
VASA published, mouse	036	multi	6	1556
VASA published, mouse	036	multi	7	383
VASA published, mouse	036	multi	8	300
VASA published, mouse	036	multi	9	616
VASA published, mouse	036	multi	10	85
VASA published, mouse	036	multi	11	40
VASA published, mouse	036	multi	12	24
VASA published, mouse	036	multi	13	11
VASA published, mouse	036	multi	18	2
VASA published, mouse	036	multi	19	3
VASA published, mouse	036	multi	20	31
VASA published, mouse	036	single	1	213095
VASA published, mouse	036	single	2	7762
VASA published, mouse	036	single	3	328
VASA published, mouse	036	single	4	4
VASA published, mouse	036	single	6	1
VASA published, mouse	036	single	14	4
VASA published, mouse	036	single	15	3
VASA published, mouse	036	single	16	1
VASA published, mouse	036	single	17	6
VASA published, mouse	036	single	20	78
VASA published, mouse	038	multi	1	2244
VASA published, mouse	038	multi	2	2275
VASA published, mouse	038	multi	3	1087
VASA published, mouse	038	multi	4	871
VASA published, mouse	038	multi	5	408
VASA published, mouse	038	multi	6	382
VASA published, mouse	038	multi	7	75
VASA published, mouse	038	multi	8	47
VASA published, mouse	038	multi	9	166
VASA published, mouse	038	multi	10	18
VASA published, mouse	038	multi	11	10
VASA published, mouse	038	multi	12	4
VASA published, mouse	038	multi	13	4
VASA published, mouse	038	multi	18	1
VASA published, mouse	038	multi	20	8
VASA published, mouse	038	single	1	70795
VASA published, mouse	038	single	2	2332
VASA published, mouse	038	single	3	93
VASA published, mouse	038	single	4	4
VASA published, mouse	038	single	10	1
VASA published, mouse	038	single	12	1
VASA published, mouse	038	single	13	6
VASA published, mouse	038	single	14	1
VASA published, mouse	038	single	17	5
VASA published, mouse	038	single	19	4
VASA published, mouse	038	single	20	6
VASA published, mouse	040	multi	1	1012
VASA published, mouse	040	multi	2	1252
VASA published, mouse	040	multi	3	515
VASA published, mouse	040	multi	4	501
VASA published, mouse	040	multi	5	223
VASA published, mouse	040	multi	6	208
VASA published, mouse	040	multi	7	45
VASA published, mouse	040	multi	8	36
VASA published, mouse	040	multi	9	76
VASA published, mouse	040	multi	10	19
VASA published, mouse	040	multi	11	1
VASA published, mouse	040	multi	12	1
VASA published, mouse	040	multi	20	6
VASA published, mouse	040	single	1	28390
VASA published, mouse	040	single	2	983
VASA published, mouse	040	single	3	53
VASA published, mouse	040	single	4	1
VASA published, mouse	040	single	12	2
VASA published, mouse	040	single	20	2
VASA published, mouse	042	multi	1	2349
VASA published, mouse	042	multi	2	3288
VASA published, mouse	042	multi	3	1593
VASA published, mouse	042	multi	4	2075
VASA published, mouse	042	multi	5	695
VASA published, mouse	042	multi	6	909
VASA published, mouse	042	multi	7	166
VASA published, mouse	042	multi	8	81
VASA published, mouse	042	multi	9	308
VASA published, mouse	042	multi	10	8
VASA published, mouse	042	multi	11	19
VASA published, mouse	042	multi	12	3
VASA published, mouse	042	multi	13	8
VASA published, mouse	042	multi	18	3
VASA published, mouse	042	multi	20	6
VASA published, mouse	042	single	1	82801
VASA published, mouse	042	single	2	3006
VASA published, mouse	042	single	3	123
VASA published, mouse	042	single	4	1
VASA published, mouse	042	single	20	8
VASA published, mouse	044	multi	1	3260
VASA published, mouse	044	multi	2	5334
VASA published, mouse	044	multi	3	2182
VASA published, mouse	044	multi	4	1850
VASA published, mouse	044	multi	5	780
VASA published, mouse	044	multi	6	667
VASA published, mouse	044	multi	7	207
VASA published, mouse	044	multi	8	119
VASA published, mouse	044	multi	9	305
VASA published, mouse	044	multi	10	53
VASA published, mouse	044	multi	11	22
VASA published, mouse	044	multi	12	11
VASA published, mouse	044	multi	13	2
VASA published, mouse	044	multi	15	1
VASA published, mouse	044	multi	17	1
VASA published, mouse	044	multi	20	20
VASA published, mouse	044	single	1	103502
VASA published, mouse	044	single	2	3779
VASA published, mouse	044	single	3	165
VASA published, mouse	044	single	4	7
VASA published, mouse	044	single	10	2
VASA published, mouse	044	single	20	28
VASA published, mouse	046	multi	1	2052
VASA published, mouse	046	multi	2	3977
VASA published, mouse	046	multi	3	1916
VASA published, mouse	046	multi	4	1457
VASA published, mouse	046	multi	5	671
VASA published, mouse	046	multi	6	401
VASA published, mouse	046	multi	7	180
VASA published, mouse	046	multi	8	198
VASA published, mouse	046	multi	9	156
VASA published, mouse	046	multi	10	70
VASA published, mouse	046	multi	11	34
VASA published, mouse	046	multi	12	9
VASA published, mouse	046	multi	18	2
VASA published, mouse	046	multi	19	2
VASA published, mouse	046	multi	20	36
VASA published, mouse	046	single	1	29934
VASA published, mouse	046	single	2	1566
VASA published, mouse	046	single	3	18
VASA published, mouse	046	single	14	2
VASA published, mouse	050	multi	1	2506
VASA published, mouse	050	multi	2	4022
VASA published, mouse	050	multi	3	2044
VASA published, mouse	050	multi	4	1437
VASA published, mouse	050	multi	5	697
VASA published, mouse	050	multi	6	503
VASA published, mouse	050	multi	7	189
VASA published, mouse	050	multi	8	99
VASA published, mouse	050	multi	9	190
VASA published, mouse	050	multi	10	37
VASA published, mouse	050	multi	11	21
VASA published, mouse	050	multi	12	20
VASA published, mouse	050	multi	19	1
VASA published, mouse	050	multi	20	27
VASA published, mouse	050	single	1	62228
VASA published, mouse	050	single	2	2474
VASA published, mouse	050	single	3	89
VASA published, mouse	050	single	20	2
VASA published, mouse	054	multi	1	1658
VASA published, mouse	054	multi	2	2077
VASA published, mouse	054	multi	3	833
VASA published, mouse	054	multi	4	782
VASA published, mouse	054	multi	5	316
VASA published, mouse	054	multi	6	270
VASA published, mouse	054	multi	7	51
VASA published, mouse	054	multi	8	41
VASA published, mouse	054	multi	9	85
VASA published, mouse	054	multi	10	14
VASA published, mouse	054	multi	11	20
VASA published, mouse	054	multi	12	8
VASA published, mouse	054	multi	13	3
VASA published, mouse	054	multi	20	3
VASA published, mouse	054	single	1	46994
VASA published, mouse	054	single	2	1870
VASA published, mouse	054	single	3	101
VASA published, mouse	054	single	18	1
VASA published, mouse	054	single	19	1
VASA published, mouse	054	single	20	11
VASA published, mouse	056	multi	1	15277
VASA published, mouse	056	multi	2	21554
VASA published, mouse	056	multi	3	10786
VASA published, mouse	056	multi	4	22359
VASA published, mouse	056	multi	5	5257
VASA published, mouse	056	multi	6	6651
VASA published, mouse	056	multi	7	1052
VASA published, mouse	056	multi	8	677
VASA published, mouse	056	multi	9	2930
VASA published, mouse	056	multi	10	270
VASA published, mouse	056	multi	11	163
VASA published, mouse	056	multi	12	52
VASA published, mouse	056	multi	13	107
VASA published, mouse	056	multi	14	9
VASA published, mouse	056	multi	15	1
VASA published, mouse	056	multi	16	2
VASA published, mouse	056	multi	18	14
VASA published, mouse	056	multi	19	2
VASA published, mouse	056	multi	20	58
VASA published, mouse	056	single	1	521926
VASA published, mouse	056	single	2	22710
VASA published, mouse	056	single	3	1254
VASA published, mouse	056	single	4	71
VASA published, mouse	056	single	5	9
VASA published, mouse	056	single	6	23
VASA published, mouse	056	single	8	7
VASA published, mouse	056	single	9	1
VASA published, mouse	056	single	11	2
VASA published, mouse	056	single	13	9
VASA published, mouse	056	single	14	2
VASA published, mouse	056	single	15	2
VASA published, mouse	056	single	18	8
VASA published, mouse	056	single	19	5
VASA published, mouse	056	single	20	2
VASA published, mouse	058	multi	1	2517
VASA published, mouse	058	multi	2	3635
VASA published, mouse	058	multi	3	1850
VASA published, mouse	058	multi	4	1378
VASA published, mouse	058	multi	5	583
VASA published, mouse	058	multi	6	429
VASA published, mouse	058	multi	7	202
VASA published, mouse	058	multi	8	143
VASA published, mouse	058	multi	9	114
VASA published, mouse	058	multi	10	47
VASA published, mouse	058	multi	11	36
VASA published, mouse	058	multi	12	10
VASA published, mouse	058	multi	13	1
VASA published, mouse	058	multi	14	1
VASA published, mouse	058	multi	18	6
VASA published, mouse	058	multi	19	8
VASA published, mouse	058	multi	20	8
VASA published, mouse	058	single	1	74001
VASA published, mouse	058	single	2	2588
VASA published, mouse	058	single	3	124
VASA published, mouse	058	single	4	4
VASA published, mouse	058	single	5	8
VASA published, mouse	058	single	9	4
VASA published, mouse	058	single	15	6
VASA published, mouse	058	single	17	2
VASA published, mouse	058	single	19	3
VASA published, mouse	058	single	20	3
VASA published, mouse	060	multi	1	4937
VASA published, mouse	060	multi	2	6167
VASA published, mouse	060	multi	3	3411
VASA published, mouse	060	multi	4	3058
VASA published, mouse	060	multi	5	1003
VASA published, mouse	060	multi	6	1055
VASA published, mouse	060	multi	7	246
VASA published, mouse	060	multi	8	187
VASA published, mouse	060	multi	9	551
VASA published, mouse	060	multi	10	43
VASA published, mouse	060	multi	11	41
VASA published, mouse	060	multi	12	24
VASA published, mouse	060	multi	13	2
VASA published, mouse	060	multi	18	3
VASA published, mouse	060	multi	19	10
VASA published, mouse	060	multi	20	46
VASA published, mouse	060	single	1	176373
VASA published, mouse	060	single	2	6330
VASA published, mouse	060	single	3	273
VASA published, mouse	060	single	4	8
VASA published, mouse	060	single	5	1
VASA published, mouse	060	single	8	11
VASA published, mouse	060	single	9	1
VASA published, mouse	060	single	14	4
VASA published, mouse	060	single	20	31
VASA published, mouse	062	multi	1	5127
VASA published, mouse	062	multi	2	6501
VASA published, mouse	062	multi	3	2923
VASA published, mouse	062	multi	4	2525
VASA published, mouse	062	multi	5	1144
VASA published, mouse	062	multi	6	1078
VASA published, mouse	062	multi	7	236
VASA published, mouse	062	multi	8	214
VASA published, mouse	062	multi	9	376
VASA published, mouse	062	multi	10	52
VASA published, mouse	062	multi	11	15
VASA published, mouse	062	multi	12	25
VASA published, mouse	062	multi	13	10
VASA published, mouse	062	multi	14	5
VASA published, mouse	062	multi	18	3
VASA published, mouse	062	multi	19	4
VASA published, mouse	062	multi	20	12
VASA published, mouse	062	single	1	163228
VASA published, mouse	062	single	2	5886
VASA published, mouse	062	single	3	311
VASA published, mouse	062	single	5	10
VASA published, mouse	062	single	7	7
VASA published, mouse	062	single	8	3
VASA published, mouse	062	single	12	7
VASA published, mouse	062	single	14	6
VASA published, mouse	062	single	20	6
VASA published, mouse	064	multi	1	5842
VASA published, mouse	064	multi	2	6688
VASA published, mouse	064	multi	3	2846
VASA published, mouse	064	multi	4	2249
VASA published, mouse	064	multi	5	928
VASA published, mouse	064	multi	6	842
VASA published, mouse	064	multi	7	250
VASA published, mouse	064	multi	8	173
VASA published, mouse	064	multi	9	302
VASA published, mouse	064	multi	10	86
VASA published, mouse	064	multi	11	30
VASA published, mouse	064	multi	12	27
VASA published, mouse	064	multi	13	2
VASA published, mouse	064	multi	14	3
VASA published, mouse	064	multi	17	5
VASA published, mouse	064	multi	18	9
VASA published, mouse	064	multi	20	23
VASA published, mouse	064	single	1	131065
VASA published, mouse	064	single	2	4446
VASA published, mouse	064	single	3	173
VASA published, mouse	064	single	4	1
VASA published, mouse	064	single	12	1
VASA published, mouse	064	single	14	2
VASA published, mouse	064	single	15	4
VASA published, mouse	064	single	17	3
VASA published, mouse	064	single	18	10
VASA published, mouse	064	single	20	14
VASA published, mouse	066	multi	1	8102
VASA published, mouse	066	multi	2	11410
VASA published, mouse	066	multi	3	5153
VASA published, mouse	066	multi	4	4805
VASA published, mouse	066	multi	5	1793
VASA published, mouse	066	multi	6	1703
VASA published, mouse	066	multi	7	488
VASA published, mouse	066	multi	8	317
VASA published, mouse	066	multi	9	592
VASA published, mouse	066	multi	10	139
VASA published, mouse	066	multi	11	71
VASA published, mouse	066	multi	12	16
VASA published, mouse	066	multi	13	5
VASA published, mouse	066	multi	14	1
VASA published, mouse	066	multi	15	5
VASA published, mouse	066	multi	18	2
VASA published, mouse	066	multi	20	49
VASA published, mouse	066	single	1	242642
VASA published, mouse	066	single	2	9539
VASA published, mouse	066	single	3	425
VASA published, mouse	066	single	4	16
VASA published, mouse	066	single	9	1
VASA published, mouse	066	single	12	1
VASA published, mouse	066	single	14	6
VASA published, mouse	066	single	15	2
VASA published, mouse	066	single	16	13
VASA published, mouse	066	single	17	2
VASA published, mouse	066	single	19	5
VASA published, mouse	066	single	20	49
VASA published, mouse	068	multi	1	3602
VASA published, mouse	068	multi	2	5529
VASA published, mouse	068	multi	3	2360
VASA published, mouse	068	multi	4	2043
VASA published, mouse	068	multi	5	862
VASA published, mouse	068	multi	6	931
VASA published, mouse	068	multi	7	204
VASA published, mouse	068	multi	8	174
VASA published, mouse	068	multi	9	312
VASA published, mouse	068	multi	10	36
VASA published, mouse	068	multi	11	34
VASA published, mouse	068	multi	12	6
VASA published, mouse	068	multi	13	3
VASA published, mouse	068	multi	14	1
VASA published, mouse	068	multi	15	2
VASA published, mouse	068	multi	18	1
